,Pr141,Nd142,Nd143,Nd144,Nd145,Nd146,Sm147,Nd148,Sm149,Nd150,Eu151,Sm152,Eu153,Sm154,Gd155,Gd156,Gd157,Gd158,Tb159,Gd160,Dy161,Dy162,Dy163,Dy164,Ho165,Er166,Er167,Er168,Tm169,Er170,Yb171,Yb172,Yb173,Yb174,Lu175,Yb176,Ir191,Ir193
Pr141,100,,,,,,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,
Nd142,,100,0.464646465,0.333333333,0.070707071,0.101010101,,0.02020202,,0.02020202,,,,,,,,1.95,0.009060606,0.0065,0.001378788,0.001969697,,0.000393939,,0.000393939,,,,,,,,,,,,
Nd143,,0.849740933,100,2.21761658,0.227979275,0.259067358,,0.041450777,,0.031088083,,,,,,,,0.016569948,1.95,0.043243523,0.004445596,0.005051813,,0.00080829,,0.000606218,,,,,,,,,,,,
Nd144,,0.182370821,0.233029382,100,0.557244174,0.283687943,,0.040526849,,0.020263425,,,,,,,,0.003556231,0.004544073,1.95,0.010866261,0.005531915,,0.000790274,,0.000395137,,,,,,,,,,,,
Nd145,,0.296610169,0.233050847,1.23940678,100,3.940677966,,0.148305085,,0.074152542,,,,,,,,0.005783898,0.004544492,0.024168432,1.95,0.07684322,,0.002891949,,0.001445975,,,,,,,,,,,,
Nd146,,0.182186235,0.141700405,0.32388664,0.24291498,100,,0.24291498,,0.000809717,,,,,,,,0.003552632,0.002763158,0.006315789,0.004736842,1.95,,0.004736842,,1.57895E-05,,,,,,,,,,,,
Sm147,,,,0.10373444,,,100,2.282157676,0.518672199,0.20746888,,0.414937759,,0.20746888,,,,,,0.000435685,,,0.42,0.009585062,0.002178423,0.000871369,,0.001742739,,0.000871369,,,,,,,,
Nd148,,0.472279261,0.256673511,0.523613963,0.205338809,0.739219713,,100,,0.472279261,,,,,,,,0.009209446,0.005005133,0.010210472,0.004004107,0.014414784,,1.95,,0.009209446,,,,,,,,,,,,
Sm149,,,,0.103199174,,,0.206398349,0.825593395,100,1.444788442,,0.412796698,,0.206398349,,,,,,0.000433437,,,0.000866873,0.003467492,0.42,0.006068111,,0.001733746,,0.000866873,,,,,,,,
Nd150,,0.512295082,0.307377049,0.676229508,0.225409836,0.471311475,,0.266393443,,100,,,,,,,,0.009989754,0.005993852,0.013186475,0.004395492,0.009190574,,0.005194672,,1.95,,,,,,,,,,,,
Eu151,,,,,,,,,,,100,,0.806451613,,,,,,,,,,,,,,0.08,,0.000645161,,,,,,,,,
Sm152,,,,0.010131712,,,0.060790274,0.070921986,0.131712259,0.202634245,,100,,0.840932118,,,,,,4.25532E-05,,,0.000255319,0.000297872,0.000553191,0.000851064,,0.42,,0.003531915,,,,,,,,
Eu153,,,,,,,,,,,0.806451613,,100,,,,,,,,,,,,,,0.000645161,,0.08,,,,,,,,,
Sm154,,,,0,,,0.101419878,0.101419878,0.202839757,0.101419878,,0.912778905,,100,,,,,,0,,,0.000425963,0.000425963,0.000851927,0.000425963,,0.003833671,,0.42,,,,,,,,
Gd155,,,,,,,,,,,,0.005009016,,0.010018032,100,0.100180325,0.070126227,0.010018032,,0.005009016,,,,,,,,6.51172E-05,,0.000130234,1.3,0.001302344,0.000911641,0.000130234,,6.51172E-05,,
Gd156,,,,,,,,,,,,0,,0,0.837696335,100,2.617801047,1.047120419,,0.209424084,,,,,,,,0,,0,0.010890052,1.3,0.034031414,0.013612565,,0.002722513,,
Gd157,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
Gd158,,,,,,,,,,,,0,,0,0.102145046,0.204290092,1.02145046,100,,0.817160368,,,,,,,,0,,0,0.001327886,0.002655771,0.013278856,1.3,,0.010623085,,
Tb159,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,1.15,,,
Gd160,,,,,,,,,,,,0.06097561,,0.030487805,0.203252033,0.325203252,0.264227642,0.802845528,,100,,,,,,,,0.000792683,,0.000396341,0.002642276,0.004227642,0.003434959,0.010436992,,1.3,,
Dy161,,,,,,,,,,,,,,,,0.020887728,,0.071018277,,0.244386423,100,2.621409922,0.929503916,0.574412533,,,,,,,,0.000110705,,0.000376397,,0.001295248,,
Dy162,,,,,,,,,,,,,,,,0.105932203,,0.105932203,,0.105932203,1.387711864,100,3.559322034,0.667372881,,,,,,,,0.000561441,,0.000561441,,0.000561441,,
Dy163,,,,,,,,,,,,,,,,0.010326311,,0.103263114,,0.030978934,0.371747212,1.29078893,100,1.569599339,,,,,,,,5.47295E-05,,0.000547295,,0.000164188,,
Dy164,,,,,,,,,,,,,,,,0.010155377,,0.010155377,,0.020310755,0.152330659,0.345282827,1.320199045,100,,,,,,,,5.38235E-05,,5.38235E-05,,0.000107647,,
Ho165,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
Er166,,,,,,,,,,,,,,,,,,,,,,0.01019368,,0.02038736,,100,1.355759429,0.458715596,,0.101936799,,,,,,,,
Er167,,,,,,,,,,,,,,,,,,,,,,0.010384216,,0.10384216,,0.996884735,100,2.66874351,,0.166147456,,,,,,,,
Er168,,,,,,,,,,,,,,,,,,,,,,0.002046036,,0.022506394,,0.6342711,1.237851662,100,,0.409207161,,,,,,,,
Tm169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
Er170,,,,,,,,,,,,,,,,,,,,,,0.101112235,,0.101112235,,0.313447927,0.252780586,0.535894843,,100,,,,,,,,
Yb171,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010471204,,0.104712042,100,3.769633508,0.314136126,0.418848168,,0.104712042,,
Yb172,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020597322,,0.020597322,0.216271885,100,2.162718847,0.504634398,,0.102986612,,
Yb173,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010538518,,0.052692591,0.30561703,1.47539256,100,3.182632522,,0.358309622,,
Yb174,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010070493,,0.100704935,0.03021148,0.090634441,0.231621349,100,,0.342396777,,
Lu175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.200400802,,
Yb176,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010032103,,0.020064205,0.020064205,0.040128411,0.040128411,0.200642055,,100,,
Ir191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
Ir193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
