"","Image_name","ObjectNumber","Location_Center_X","Location_Center_Y","HLA.ABC","CD57","CD31","CD14","C.peptide","Nestin","Glucagon","pan.Keratin","CD11b","CD44","PDX.1","CD45","CD56","beta.Actin","Foxp3","CD4","NKX6.1","CD68","Somatostatin","CD20","CD8","CD99","CA2","NFkb","GnzB","Ki67","Collagen","CD3","p16","pS6","CD45RO","HLA.DR","PP","GHRL","DNA191","DNA193"
"cell_1","NPOD6009_Head_ROI1",1,63.04040404,4.737373737,1.7760256,0.35323904,0.35323904,2.0578304,0.29294592,0.3637248,0.41418752,5.767168,10.899161088,1.1403264,0.62652416,0.55574528,0.34340864,9.050652672,2.9884416,1.1599872,0.44433408,1.6449536,0.46465024,0.2326528,1.3238272,6.0882944,0.34340864,0.42401792,0.2326528,0.22216704,1.4548992,1.2320768,3.211264,1.867776,0.6750208,4.6465024,0.45481984,0.51511296,78.79917568,142.184022016
"cell_2","NPOD6009_Head_ROI1",2,72.87735849,5.5,2.3330816,0.36765696,0.27328512,2.5690112,0.20774912,0.311296,0.33030144,4.9938432,9.094496256,0.6619136,0.8388608,0.60358656,0.42467328,9.896394752,3.3554432,1.1862016,0.3866624,1.2255232,0.4718592,0.25493504,0.9699328,6.5470464,0.32047104,0.48103424,0.24510464,0.11337728,2.3461888,1.1730944,2.7000832,2.850816,7.641628672,7.443513344,0.49086464,0.51904512,84.2088448,157.832577024
"cell_3","NPOD6009_Head_ROI1",3,99.76785714,4.25,3.6962304,0.3211264,0.28573696,5.5902208,0.37486592,0.53542912,0.42860544,6.4815104,7.83941632,1.409024,0.5177344,0.9306112,0.48234496,24.803934208,2.8573696,1.80224,0.48234496,15.160967168,0.3211264,0.24969216,0.8060928,6.324224,0.48234496,0.196608,0.1605632,0.07143424,12.30372864,1.2320768,1.6580608,1.96608,1.5204352,37.357682688,0.42860544,0.42860544,14.071627776,25.018236928
"cell_4","NPOD6009_Head_ROI1",4,159.5897436,5.371794872,2.0512768,0.34603008,0.38469632,1.5794176,0.25624576,0.39714816,0.53870592,13.128433664,6.83343872,2.5493504,5.0659328,0.38469632,0.52559872,7.794982912,2.7066368,0.8978432,1.7825792,1.0747904,0.35913728,0.20512768,0.6946816,4.7710208,0.7667712,2.883584,0.2818048,0.1409024,1.1272192,1.114112,2.4772608,2.1168128,0.4489216,0.46137344,0.25624576,0.21823488,97.834827776,181.220737024
"cell_5","NPOD6009_Head_ROI1",5,182.195122,4.036585366,1.2713984,0.17104896,0.19529728,1.0354688,0.10944512,0.34144256,0.25624576,6.975717376,9.122086912,0.41484288,0.34144256,0.25624576,0.31719424,5.537792,2.3396352,0.851968,0.23199744,0.65536,0.8388608,0.17104896,0.8388608,5.4525952,0.24379392,0.28049408,0.14614528,0.07340032,1.9267584,0.9371648,2.0840448,1.6121856,0.31719424,0.7340032,0.31719424,0.26804224,68.818108416,124.770189312
"cell_6","NPOD6009_Head_ROI1",6,222.1132075,2.754716981,2.4707072,0.28311552,0.35848192,2.3003136,0.2260992,0.4718592,0.28311552,22.151299072,9.41522944,1.6580608,5.9834368,0.43384832,0.45285376,11.113398272,3.3030144,0.7929856,1.7956864,0.7012352,0.28311552,0.16973824,0.6815744,5.5312384,1.015808,2.752512,0.13238272,0.18874368,0.3964928,1.0027008,2.3199744,0.8323072,0.3964928,0.56623104,0.37748736,0.52822016,95.793905664,183.134846976
"cell_7","NPOD6009_Head_ROI1",7,229.4186047,5.220930233,1.6646144,0.26738688,0.27918336,0.8388608,0.16252928,0.27918336,0.42991616,8.941993984,10.035068928,0.7798784,2.850816,0.2555904,0.53477376,6.72104448,1.998848,0.9043968,0.884736,0.54657024,0.24444928,0.17432576,0.42991616,5.1511296,0.58130432,1.5204352,0.2326528,0.08126464,0.6619136,0.6946816,1.4548992,0.884736,0.17432576,0.39518208,0.19791872,0.24444928,60.512534528,114.071502848
"cell_8","NPOD6009_Head_ROI1",8,245.0315789,4.4,0.9568256,0.24182784,0.147456,1.2320768,0.13697024,0.1998848,0.33685504,6.2652416,8.968536064,0.36831232,0.43188224,0.37879808,0.52625408,6.3176704,2.1037056,1.0092544,0.2523136,0.5472256,0.33685504,0.18939904,1.0747904,5.9899904,0.26345472,0.27394048,0.147456,0.0950272,1.5794176,0.9371648,2.1364736,1.5597568,0.15794176,0.48431104,0.28442624,0.38928384,52.906098688,100.55942144
"cell_9","NPOD6009_Head_ROI1",9,291.2689655,5.731034483,1.0354688,0.2686976,0.20709376,1.277952,0.23461888,0.24838144,0.24838144,5.9441152,6.855262208,0.2686976,0.5308416,0.24117248,0.4620288,6.1014016,2.654208,1.0223616,0.24838144,0.6750208,0.43450368,0.22085632,0.7995392,6.0096512,0.2686976,0.3309568,0.14483456,0.09633792,1.3631488,1.0354688,2.2216704,3.1719424,0.38600704,0.8192,0.3309568,0.4554752,81.035722752,144.75395072
"cell_10","NPOD6009_Head_ROI1",10,366.4528302,6.367924528,1.3893632,0.1605632,0.10354688,0.8126464,0.10354688,0.19791872,0.20774912,2.9032448,4.2663936,0.53805056,0.4620288,0.753664,1.3238272,9.254862848,1.6908288,0.57540608,0.19791872,0.58523648,0.27328512,0.28311552,6.6699264,5.865472,0.33030144,0.17956864,0.09437184,0.028311552,3.6438016,2.8770304,2.4313856,0.50921472,0.6684672,0.25493504,0.19791872,0.25493504,104.70916096,188.672704512
